Unifier ID,Project Name,Description,County,Corridor,Category,Estimated Cost,Unfunded Amount,Status,Readiness,Design Percent,Modes,Year Needed,Fatalities 5yr,Serious Injuries 5yr,High Crash Location,Disadvantaged Community,Rural,Environmental Justice,Tags
UNF-1001,US 13 Intersection Safety Improvements,"Systemic safety package at high-crash US 13 intersections including signal upgrades, left-turn protection, lighting, and pedestrian accommodations in New Castle County.",New Castle,US 13,safety,18400000,18400000,unfunded,final-design,80,auto; pedestrian; transit,2026,6,41,true,true,false,true,intersection; signal; pedestrian; high-crash; lighting; safety
UNF-1002,Bridge Rehabilitation - Group 3,"Bundled rehabilitation of load-posted and structurally deficient bridges in Kent and Sussex Counties, restoring legal loads and improving freight reliability.",Kent,US 113,bridge,41200000,36800000,partially-funded,preliminary-design,35,auto; freight,2027,0,3,false,false,true,false,bridge; structurally-deficient; rural; freight; load-posting
UNF-1003,Wilmington High-Injury Network Complete Streets,"Complete streets conversion on a high-injury urban corridor with protected bike lanes, bus stop improvements, curb extensions, and leading pedestrian intervals.",New Castle,SR 52,complete-streets,22100000,22100000,unfunded,final-design,70,auto; pedestrian; bicycle; transit,2026,8,62,true,true,false,true,complete-streets; bike-ped; equity; vru; transit; high-crash
UNF-1004,SR 1 Pedestrian Crossing & Lighting — Coastal Towns,"Marked crossings, refuge islands, RRFBs, and continuous lighting at SR 1 crossings serving beach communities and transit stops.",Sussex,SR 1,bike-ped,9600000,9600000,unfunded,construction-ready,95,pedestrian; bicycle; auto,2025,4,19,true,false,false,false,pedestrian; lighting; crossing; vru; tourism; safety
UNF-1005,Dover Transit Signal Priority and Queue Jump,"Transit signal priority, queue jumps, and pedestrian safety upgrades on DART routes serving employment and medical destinations in Dover.",Kent,US 13,transit,7400000,7400000,unfunded,final-design,75,transit; pedestrian; auto,2026,2,14,false,true,false,true,transit; signal; equity; pedestrian; tsp
UNF-1016,DART Low-No Bus Fleet Replacement and Maintenance Facility,"Replace diesel buses with low- and no-emission transit buses and rehabilitate the DART bus maintenance garage, including depot charging and related equipment.",New Castle,Statewide,transit,28600000,28600000,unfunded,final-design,70,transit,2026,0,1,false,true,false,true,transit; bus-fleet; low-no; garage; zero-emission
UNF-1006,I-95 / SR 141 Interchange Safety and Operations,"Ramp realignment, auxiliary lanes, and wrong-way detection to reduce severe crashes and freight delay at a major New Castle interchange.",New Castle,I-95,safety,67500000,67500000,unfunded,preliminary-design,30,auto; freight,2028,5,27,true,false,false,false,interstate; interchange; freight; wrong-way; high-crash
UNF-1007,Statewide Vulnerable Road User Safety Action Plan Update,"Data-driven update to Delaware's VRU safety action plan, including equity analysis, high-injury network refresh, and implementation strategy.",Kent,Statewide,planning,1800000,1800000,unfunded,planning,10,pedestrian; bicycle,2025,21,140,true,true,true,true,safety-plan; vru; data-driven; equity; planning
UNF-1008,SR 1 Coastal Resilience and Flood Mitigation,"Raise and armor critical SR 1 segments that flood during coastal storms, protecting an evacuation route and seasonal economy.",Sussex,SR 1,resilience,54000000,54000000,unfunded,preliminary-design,25,auto; transit; freight,2028,1,6,false,false,false,false,flood; sea-level; evacuation; coastal; resilience
UNF-1009,US 13 Alternative Fuel Corridor Charging,DC fast charging sites along the US 13 alternative fuel corridor with rural coverage gaps between Dover and Delmar.,Sussex,US 13,ev-charging,6200000,6200000,unfunded,row,55,auto; freight,2026,0,0,false,false,true,false,ev; corridor; alternative-fuel; rural
