Unifier ID,Project Name,Description,County,Corridor,Category,Estimated Cost,Unfunded Amount,Status,Readiness,Design Percent,Modes,Year Needed,Fatalities 5yr,Serious Injuries 5yr,High Crash Location,Disadvantaged Community,Rural,Environmental Justice,Tags
UNF-1001,US 13 Intersection Safety Improvements,"Systemic safety package at high-crash US 13 intersections including signal upgrades, left-turn protection, lighting, and pedestrian accommodations in New Castle County.",New Castle,US 13,safety,18400000,18400000,unfunded,final-design,80,auto; pedestrian; transit,2026,6,41,true,true,false,true,intersection; signal; pedestrian; high-crash; lighting; safety
UNF-1002,Bridge Rehabilitation - Group 3,"Bundled rehabilitation of load-posted and structurally deficient bridges in Kent and Sussex Counties, restoring legal loads and improving freight reliability.",Kent,US 113,bridge,41200000,36800000,partially-funded,preliminary-design,35,auto; freight,2027,0,3,false,false,true,false,bridge; structurally-deficient; rural; freight; load-posting
UNF-1003,Wilmington High-Injury Network Complete Streets,"Complete streets conversion on a high-injury urban corridor with protected bike lanes, bus stop improvements, curb extensions, and leading pedestrian intervals.",New Castle,SR 52,complete-streets,22100000,22100000,unfunded,final-design,70,auto; pedestrian; bicycle; transit,2026,8,62,true,true,false,true,complete-streets; bike-ped; equity; vru; transit; high-crash
UNF-1004,SR 1 Pedestrian Crossing & Lighting — Coastal Towns,"Marked crossings, refuge islands, RRFBs, and continuous lighting at SR 1 crossings serving beach communities and transit stops.",Sussex,SR 1,bike-ped,9600000,9600000,unfunded,construction-ready,95,pedestrian; bicycle; auto,2025,4,19,true,false,false,false,pedestrian; lighting; crossing; vru; tourism; safety
UNF-1005,Dover Transit Signal Priority and Queue Jump,"Transit signal priority, queue jumps, and pedestrian safety upgrades on DART routes serving employment and medical destinations in Dover.",Kent,US 13,transit,7400000,7400000,unfunded,final-design,75,transit; pedestrian; auto,2026,2,14,false,true,false,true,transit; signal; equity; pedestrian; tsp
UNF-1006,I-95 / SR 141 Interchange Safety and Operations,"Ramp realignment, auxiliary lanes, and wrong-way detection to reduce severe crashes and freight delay at a major New Castle interchange.",New Castle,I-95,safety,67500000,67500000,unfunded,preliminary-design,30,auto; freight,2028,5,27,true,false,false,false,interstate; interchange; freight; wrong-way; high-crash
UNF-1007,Statewide Vulnerable Road User Safety Action Plan Update,"Data-driven update to Delaware's VRU safety action plan, including equity analysis, high-injury network refresh, and implementation strategy.",Kent,Statewide,planning,1800000,1800000,unfunded,planning,10,pedestrian; bicycle,2025,21,140,true,true,true,true,safety-plan; vru; data-driven; equity; planning
UNF-1008,SR 1 Coastal Resilience and Flood Mitigation,"Raise and armor critical SR 1 segments that flood during coastal storms, protecting an evacuation route and seasonal economy.",Sussex,SR 1,resilience,54000000,54000000,unfunded,preliminary-design,25,auto; transit; freight,2028,1,6,false,false,false,false,flood; sea-level; evacuation; coastal; resilience
UNF-1009,US 13 Alternative Fuel Corridor Charging,DC fast charging sites along the US 13 alternative fuel corridor with rural coverage gaps between Dover and Delmar.,Sussex,US 13,ev-charging,6200000,6200000,unfunded,row,55,auto; freight,2026,0,0,false,false,true,false,ev; corridor; alternative-fuel; rural
UNF-1010,Newark Bicycle Boulevard and School Access,"Low-stress bicycle boulevard connecting neighborhoods, UD campus, and elementary schools with traffic calming and crossing improvements.",New Castle,SR 896,bike-ped,4100000,4100000,unfunded,construction-ready,90,bicycle; pedestrian,2025,1,9,false,false,false,false,bicycle; school; traffic-calming; vru; complete-streets
UNF-1011,Seaford US 13 Freight Bottleneck Relief,"Intersection capacity, turning-radius, and signal timing improvements for agricultural and industrial freight on US 13 in western Sussex.",Sussex,US 13,freight,15300000,15300000,unfunded,preliminary-design,40,freight; auto,2027,2,11,false,true,true,false,freight; bottleneck; rural; signal; agriculture
UNF-1012,Statewide Pavement Preservation Package FY26,Preventive pavement treatments on NHS and state routes to extend service life. Limited safety or equity components.,Kent,Statewide,pavement,28000000,28000000,unfunded,construction-ready,100,auto,2026,0,2,false,false,true,false,pavement; preservation; state-of-good-repair
UNF-1013,Claymont I-495 Local Access Safety Retrofit,"Pedestrian overpass approach lighting, barrier upgrades, and speed management on local streets feeding I-495 ramps.",New Castle,I-495,safety,8700000,8700000,unfunded,final-design,65,auto; pedestrian,2026,3,18,true,true,false,true,safety; pedestrian; lighting; speed-management; equity
UNF-1014,Milford SR 1 / SR 14 Systemic Lane Departure Countermeasures,"Rumble strips, high-friction surface treatment, and curve warning upgrades on a rural fatal crash corridor.",Kent,SR 1,safety,5300000,5300000,unfunded,construction-ready,85,auto,2025,7,22,true,false,true,false,lane-departure; rural; high-friction; systemic; safety
UNF-1015,Georgetown Downtown Multimodal Safety Project,"Road diet, on-street parking reconfiguration, ADA ramps, and pedestrian lighting in Georgetown's downtown core.",Sussex,US 113,complete-streets,6900000,6900000,unfunded,final-design,72,auto; pedestrian; bicycle,2026,2,16,true,true,true,true,road-diet; ada; downtown; equity; complete-streets; safety
